2024-09-08 19:11:01,809 - MotorCore - DEBUG - MotorCore Initialized
2024-09-08 19:11:01,810 - MotorCore - DEBUG - Starting MotorCore
2024-09-08 19:11:06,684 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:06,786 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:06,892 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:06,992 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:07,093 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:07,194 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:07,295 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:07,396 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:07,496 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:07,597 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:07,698 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:07,799 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:07,876 - MotorCore - DEBUG - Sent diagnostic data
2024-09-08 19:11:07,900 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:08,000 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:08,101 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:08,202 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:08,302 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:08,403 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:08,505 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:08,615 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:08,716 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:08,817 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:08,918 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:09,018 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:09,119 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:09,220 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:09,321 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:09,422 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:09,522 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:09,624 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:09,724 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:09,825 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:09,926 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:10,027 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:10,127 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:10,228 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:10,329 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:10,430 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:10,530 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:10,631 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:10,738 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:10,839 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:10,886 - MotorCore - DEBUG - Sent diagnostic data
2024-09-08 19:11:10,940 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:11,041 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:11,142 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:11,242 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:11,343 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:11,444 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:11,545 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:11,648 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:11,748 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:11,849 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:11,950 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:12,051 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:12,152 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:12,252 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:12,353 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:12,454 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:12,554 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:12,655 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:12,756 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:12,857 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:12,958 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:13,058 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:13,159 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:13,260 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:13,360 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:13,461 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:13,562 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:13,663 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:13,764 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:13,864 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:13,899 - MotorCore - DEBUG - Sent diagnostic data
2024-09-08 19:11:13,965 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:14,066 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:14,166 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:14,267 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:14,368 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:14,469 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:14,570 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:14,670 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:14,771 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:14,872 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:14,973 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:15,076 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:15,180 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:15,282 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:15,387 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:15,493 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:15,597 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:15,700 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:15,802 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:15,905 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:16,010 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:16,114 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:16,219 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:16,325 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:16,431 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:16,536 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:16,641 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:16,748 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:16,852 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:16,931 - MotorCore - DEBUG - Sent diagnostic data
2024-09-08 19:11:16,958 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:17,064 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:17,167 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:17,271 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:17,375 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:17,482 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:17,589 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:17,697 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:17,799 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:17,902 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:18,009 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:18,117 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:18,222 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:18,326 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:18,428 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:18,530 - MotorCore - DEBUG - [0, 0]
2024-09-08 19:11:18,634 - MotorCore - DEBUG - Current Position: (32.9146337537, -117.1004477165)
2024-09-08 19:11:18,636 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:18,637 - MotorCore - DEBUG - Raw Target Vector: [-0.24143551754283168, -0.7585644824571683]
2024-09-08 19:11:18,637 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:18,638 - MotorCore - DEBUG - Current: 55.147500000000036 Target: 252.80270585269335
2024-09-08 19:11:18,638 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:18,638 - MotorCore - DEBUG - Target Rotation: -1.4167255906714609
--------
2024-09-08 19:11:18,638 - MotorCore - DEBUG - Normalized Target Rotation: -1.4167255906714609
--------
2024-09-08 19:11:18,639 - MotorCore - DEBUG - [-1.4167255906714609, 1.4167255906714609]
2024-09-08 19:11:18,742 - MotorCore - DEBUG - Current Position: (32.9146337537, -117.1004477165)
2024-09-08 19:11:18,745 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:18,746 - MotorCore - DEBUG - Raw Target Vector: [-0.24143551754283168, -0.7585644824571683]
2024-09-08 19:11:18,747 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:18,748 - MotorCore - DEBUG - Current: 55.147500000000036 Target: 252.80270585269335
2024-09-08 19:11:18,749 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:18,750 - MotorCore - DEBUG - Target Rotation: -1.4167255906714609
--------
2024-09-08 19:11:18,751 - MotorCore - DEBUG - Normalized Target Rotation: -1.4167255906714609
--------
2024-09-08 19:11:18,752 - MotorCore - DEBUG - [-1.4167255906714609, 1.4167255906714609]
2024-09-08 19:11:18,855 - MotorCore - DEBUG - Current Position: (32.9146336282, -117.1004487237)
2024-09-08 19:11:18,857 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:18,859 - MotorCore - DEBUG - Raw Target Vector: [-0.24558704853495056, -0.7544129514650495]
2024-09-08 19:11:18,860 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:18,860 - MotorCore - DEBUG - Current: 54.76490000000001 Target: 252.7967290659925
2024-09-08 19:11:18,861 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:18,861 - MotorCore - DEBUG - Target Rotation: -1.4134389331157051
--------
2024-09-08 19:11:18,862 - MotorCore - DEBUG - Normalized Target Rotation: -1.4134389331157051
--------
2024-09-08 19:11:18,862 - MotorCore - DEBUG - [-1.4134389331157051, 1.4134389331157051]
2024-09-08 19:11:18,964 - MotorCore - DEBUG - Current Position: (32.9146336282, -117.1004487237)
2024-09-08 19:11:18,965 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:18,965 - MotorCore - DEBUG - Raw Target Vector: [-0.24558704853495056, -0.7544129514650495]
2024-09-08 19:11:18,965 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:18,965 - MotorCore - DEBUG - Current: 54.76490000000001 Target: 252.7967290659925
2024-09-08 19:11:18,965 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:18,966 - MotorCore - DEBUG - Target Rotation: -1.4134389331157051
--------
2024-09-08 19:11:18,966 - MotorCore - DEBUG - Normalized Target Rotation: -1.4134389331157051
--------
2024-09-08 19:11:18,966 - MotorCore - DEBUG - [-1.4134389331157051, 1.4134389331157051]
2024-09-08 19:11:19,067 - MotorCore - DEBUG - Current Position: (32.9146336282, -117.1004487237)
2024-09-08 19:11:19,067 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:19,068 - MotorCore - DEBUG - Raw Target Vector: [-0.24558704853495056, -0.7544129514650495]
2024-09-08 19:11:19,068 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:19,068 - MotorCore - DEBUG - Current: 54.76490000000001 Target: 252.7967290659925
2024-09-08 19:11:19,068 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:19,068 - MotorCore - DEBUG - Target Rotation: -1.4134389331157051
--------
2024-09-08 19:11:19,069 - MotorCore - DEBUG - Normalized Target Rotation: -1.4134389331157051
--------
2024-09-08 19:11:19,069 - MotorCore - DEBUG - [-1.4134389331157051, 1.4134389331157051]
2024-09-08 19:11:19,170 - MotorCore - DEBUG - Current Position: (32.9146336282, -117.1004487237)
2024-09-08 19:11:19,170 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:19,171 - MotorCore - DEBUG - Raw Target Vector: [-0.24558704853495056, -0.7544129514650495]
2024-09-08 19:11:19,171 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:19,171 - MotorCore - DEBUG - Current: 54.76490000000001 Target: 252.7967290659925
2024-09-08 19:11:19,171 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:19,171 - MotorCore - DEBUG - Target Rotation: -1.4134389331157051
--------
2024-09-08 19:11:19,172 - MotorCore - DEBUG - Normalized Target Rotation: -1.4134389331157051
--------
2024-09-08 19:11:19,172 - MotorCore - DEBUG - [-1.4134389331157051, 1.4134389331157051]
2024-09-08 19:11:19,273 - MotorCore - DEBUG - Current Position: (32.9146336282, -117.1004487237)
2024-09-08 19:11:19,273 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:19,273 - MotorCore - DEBUG - Raw Target Vector: [-0.24558704853495056, -0.7544129514650495]
2024-09-08 19:11:19,273 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:19,273 - MotorCore - DEBUG - Current: 54.76490000000001 Target: 252.7967290659925
2024-09-08 19:11:19,274 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:19,274 - MotorCore - DEBUG - Target Rotation: -1.4134389331157051
--------
2024-09-08 19:11:19,274 - MotorCore - DEBUG - Normalized Target Rotation: -1.4134389331157051
--------
2024-09-08 19:11:19,274 - MotorCore - DEBUG - [-1.4134389331157051, 1.4134389331157051]
2024-09-08 19:11:19,375 - MotorCore - DEBUG - Current Position: (32.9146334543, -117.1004496023)
2024-09-08 19:11:19,376 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:19,376 - MotorCore - DEBUG - Raw Target Vector: [-0.25129444185609856, -0.7487055581439015]
2024-09-08 19:11:19,377 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:19,377 - MotorCore - DEBUG - Current: 54.24059999999997 Target: 252.79433735306253
2024-09-08 19:11:19,378 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:19,378 - MotorCore - DEBUG - Target Rotation: -1.408884424114297
--------
2024-09-08 19:11:19,378 - MotorCore - DEBUG - Normalized Target Rotation: -1.408884424114297
--------
2024-09-08 19:11:19,379 - MotorCore - DEBUG - [-1.408884424114297, 1.408884424114297]
2024-09-08 19:11:19,484 - MotorCore - DEBUG - Current Position: (32.9146334543, -117.1004496023)
2024-09-08 19:11:19,486 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:19,487 - MotorCore - DEBUG - Raw Target Vector: [-0.25129444185609856, -0.7487055581439015]
2024-09-08 19:11:19,489 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:19,490 - MotorCore - DEBUG - Current: 54.24059999999997 Target: 252.79433735306253
2024-09-08 19:11:19,490 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:19,491 - MotorCore - DEBUG - Target Rotation: -1.408884424114297
--------
2024-09-08 19:11:19,491 - MotorCore - DEBUG - Normalized Target Rotation: -1.408884424114297
--------
2024-09-08 19:11:19,492 - MotorCore - DEBUG - [-1.408884424114297, 1.408884424114297]
2024-09-08 19:11:19,595 - MotorCore - DEBUG - Current Position: (32.9146334543, -117.1004496023)
2024-09-08 19:11:19,597 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:19,599 - MotorCore - DEBUG - Raw Target Vector: [-0.25129444185609856, -0.7487055581439015]
2024-09-08 19:11:19,600 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:19,600 - MotorCore - DEBUG - Current: 54.24059999999997 Target: 252.79433735306253
2024-09-08 19:11:19,601 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:19,602 - MotorCore - DEBUG - Target Rotation: -1.408884424114297
--------
2024-09-08 19:11:19,603 - MotorCore - DEBUG - Normalized Target Rotation: -1.408884424114297
--------
2024-09-08 19:11:19,604 - MotorCore - DEBUG - [-1.408884424114297, 1.408884424114297]
2024-09-08 19:11:19,706 - MotorCore - DEBUG - Current Position: (32.9146334543, -117.1004496023)
2024-09-08 19:11:19,706 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:19,707 - MotorCore - DEBUG - Raw Target Vector: [-0.25129444185609856, -0.7487055581439015]
2024-09-08 19:11:19,707 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:19,707 - MotorCore - DEBUG - Current: 54.24059999999997 Target: 252.79433735306253
2024-09-08 19:11:19,707 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:19,707 - MotorCore - DEBUG - Target Rotation: -1.408884424114297
--------
2024-09-08 19:11:19,708 - MotorCore - DEBUG - Normalized Target Rotation: -1.408884424114297
--------
2024-09-08 19:11:19,708 - MotorCore - DEBUG - [-1.408884424114297, 1.408884424114297]
2024-09-08 19:11:19,809 - MotorCore - DEBUG - Current Position: (32.9146335538, -117.1004508077)
2024-09-08 19:11:19,809 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:19,809 - MotorCore - DEBUG - Raw Target Vector: [-0.28343479456787596, -0.716565205432124]
2024-09-08 19:11:19,809 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:19,810 - MotorCore - DEBUG - Current: 51.195100000000025 Target: 252.77619644809272
2024-09-08 19:11:19,810 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:19,810 - MotorCore - DEBUG - Target Rotation: -1.382465732190061
--------
2024-09-08 19:11:19,810 - MotorCore - DEBUG - Normalized Target Rotation: -1.382465732190061
--------
2024-09-08 19:11:19,810 - MotorCore - DEBUG - [-1.382465732190061, 1.382465732190061]
2024-09-08 19:11:19,912 - MotorCore - DEBUG - Current Position: (32.9146335538, -117.1004508077)
2024-09-08 19:11:19,912 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:19,912 - MotorCore - DEBUG - Raw Target Vector: [-0.28343479456787596, -0.716565205432124]
2024-09-08 19:11:19,913 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:19,913 - MotorCore - DEBUG - Current: 51.195100000000025 Target: 252.77619644809272
2024-09-08 19:11:19,913 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:19,913 - MotorCore - DEBUG - Target Rotation: -1.382465732190061
--------
2024-09-08 19:11:19,913 - MotorCore - DEBUG - Normalized Target Rotation: -1.382465732190061
--------
2024-09-08 19:11:19,913 - MotorCore - DEBUG - [-1.382465732190061, 1.382465732190061]
2024-09-08 19:11:19,971 - MotorCore - DEBUG - Sent diagnostic data
2024-09-08 19:11:20,014 - MotorCore - DEBUG - Current Position: (32.9146335538, -117.1004508077)
2024-09-08 19:11:20,015 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:20,015 - MotorCore - DEBUG - Raw Target Vector: [-0.28343479456787596, -0.716565205432124]
2024-09-08 19:11:20,016 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:20,016 - MotorCore - DEBUG - Current: 51.195100000000025 Target: 252.77619644809272
2024-09-08 19:11:20,016 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:20,016 - MotorCore - DEBUG - Target Rotation: -1.382465732190061
--------
2024-09-08 19:11:20,017 - MotorCore - DEBUG - Normalized Target Rotation: -1.382465732190061
--------
2024-09-08 19:11:20,017 - MotorCore - DEBUG - [-1.382465732190061, 1.382465732190061]
2024-09-08 19:11:20,118 - MotorCore - DEBUG - Current Position: (32.9146335538, -117.1004508077)
2024-09-08 19:11:20,118 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:20,118 - MotorCore - DEBUG - Raw Target Vector: [-0.28343479456787596, -0.716565205432124]
2024-09-08 19:11:20,119 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:20,119 - MotorCore - DEBUG - Current: 51.195100000000025 Target: 252.77619644809272
2024-09-08 19:11:20,119 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:20,120 - MotorCore - DEBUG - Target Rotation: -1.382465732190061
--------
2024-09-08 19:11:20,120 - MotorCore - DEBUG - Normalized Target Rotation: -1.382465732190061
--------
2024-09-08 19:11:20,120 - MotorCore - DEBUG - [-1.382465732190061, 1.382465732190061]
2024-09-08 19:11:20,221 - MotorCore - DEBUG - Current Position: (32.9146335538, -117.1004508077)
2024-09-08 19:11:20,221 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:20,222 - MotorCore - DEBUG - Raw Target Vector: [-0.28343479456787596, -0.716565205432124]
2024-09-08 19:11:20,222 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:20,222 - MotorCore - DEBUG - Current: 51.195100000000025 Target: 252.77619644809272
2024-09-08 19:11:20,222 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:20,223 - MotorCore - DEBUG - Target Rotation: -1.382465732190061
--------
2024-09-08 19:11:20,223 - MotorCore - DEBUG - Normalized Target Rotation: -1.382465732190061
--------
2024-09-08 19:11:20,223 - MotorCore - DEBUG - [-1.382465732190061, 1.382465732190061]
2024-09-08 19:11:20,324 - MotorCore - DEBUG - Current Position: (32.9146339092, -117.1004525783)
2024-09-08 19:11:20,325 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:20,325 - MotorCore - DEBUG - Raw Target Vector: [-0.3760744774782321, -0.6239255225217679]
2024-09-08 19:11:20,326 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
2024-09-08 19:11:20,326 - MotorCore - DEBUG - Current: 41.66059999999999 Target: 252.74029833888716
2024-09-08 19:11:20,326 - MotorCore - DEBUG - Direction: counter
2024-09-08 19:11:20,327 - MotorCore - DEBUG - Target Rotation: -1.2995747935247999
--------
2024-09-08 19:11:20,327 - MotorCore - DEBUG - Normalized Target Rotation: -1.2995747935247999
--------
2024-09-08 19:11:20,327 - MotorCore - DEBUG - [-1.2995747935247999, 1.2995747935247999]
2024-09-08 19:11:20,430 - MotorCore - DEBUG - Current Position: (32.9146339092, -117.1004525783)
2024-09-08 19:11:20,433 - MotorCore - DEBUG - Target Position: [32.91426471087947, -117.10186806192723]
--------
2024-09-08 19:11:20,434 - MotorCore - DEBUG - Raw Target Vector: [-0.3760744774782321, -0.6239255225217679]
2024-09-08 19:11:20,435 - MotorCore - DEBUG - Normalized Target Vector: [0, 0]
--------
